,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
179,Gent,APARTMENT,APARTMENT,280000.0,2.0,73.0,USA_HYPER_EQUIPPED,False,,True,14.0,,,,4,False,AS_NEW
180,Waregem,HOUSE,HOUSE,469000.0,3.0,220.0,HYPER_EQUIPPED,,-1.0,True,,,,594,3,,GOOD
181,Flobecq,HOUSE,VILLA,735000.0,3.0,404.0,INSTALLED,,-1.0,True,,,,3344,4,,GOOD
182,Braine-le-Château,HOUSE,VILLA,1650000.0,4.0,414.0,USA_HYPER_EQUIPPED,,1.0,True,110.0,True,1000.0,2400,6,True,AS_NEW
183,Uccle,HOUSE,HOUSE,1695000.0,6.0,448.0,INSTALLED,,1.0,True,48.0,True,900.0,1140,4,,AS_NEW
184,Oud-Heverlee Sint-Joris-Weert,HOUSE,HOUSE,389000.0,3.0,155.0,HYPER_EQUIPPED,,,True,14.0,True,380.0,446,2,False,GOOD
185,Waterloo,HOUSE,VILLA,640000.0,4.0,200.0,INSTALLED,False,1.0,True,,True,,658,4,,GOOD
186,Verviers,HOUSE,HOUSE,219000.0,6.0,210.0,INSTALLED,False,,True,40.0,True,52.0,190,2,False,GOOD
187,Bassenge,HOUSE,HOUSE,279000.0,3.0,194.0,INSTALLED,False,,True,64.0,True,160.0,165,3,False,GOOD
188,Roosdaal,HOUSE,HOUSE,370000.0,3.0,301.0,SEMI_EQUIPPED,,,True,,,,545,3,False,GOOD
189,Braine-l'Alleud,HOUSE,HOUSE,375000.0,3.0,114.0,INSTALLED,False,,True,,True,750.0,1089,3,False,TO_RENOVATE
190,Merelbeke,HOUSE,HOUSE,449000.0,3.0,155.0,HYPER_EQUIPPED,False,,True,20.0,True,400.0,540,3,False,GOOD
191,Hoegaarden,HOUSE,MANSION,495000.0,3.0,221.0,INSTALLED,,1.0,,,True,800.0,221,3,,GOOD
192,Herent,HOUSE,HOUSE,625000.0,4.0,194.0,INSTALLED,,-1.0,True,,True,222.0,347,3,,JUST_RENOVATED
193,ISNES,HOUSE,HOUSE,450000.0,4.0,157.0,USA_HYPER_EQUIPPED,,-1.0,,,True,600.0,924,4,,GOOD
194,Uccle,HOUSE,HOUSE,780000.0,4.0,260.0,USA_HYPER_EQUIPPED,False,,True,12.0,,,125,2,False,GOOD
195,Ghent,HOUSE,HOUSE,425000.0,3.0,127.0,0,,,True,12.0,,,52,2,False,GOOD
196,Seraing,HOUSE,APARTMENT_BLOCK,99000.0,2.0,115.0,NOT_INSTALLED,False,,True,25.0,True,68.0,155,2,False,TO_RENOVATE
197,,,,,,,,,,,,,,,,,
198,Fernelmont,HOUSE,HOUSE,425000.0,3.0,165.0,INSTALLED,False,,True,50.0,True,675.0,1120,4,False,AS_NEW
199,DION-LE-VAL,HOUSE,HOUSE,620000.0,4.0,222.0,INSTALLED,,-1.0,True,32.0,True,630.0,953,4,,AS_NEW
200,Antwerp,HOUSE,HOUSE,910000.0,5.0,310.0,USA_HYPER_EQUIPPED,,,True,18.0,True,131.0,242,2,,GOOD
201,Antwerp,HOUSE,MANSION,1089000.0,8.0,360.0,INSTALLED,False,,,,True,36.0,173,2,False,GOOD
202,Libin,HOUSE,HOUSE,299900.0,3.0,124.0,NOT_INSTALLED,False,,True,8.0,True,297.0,360,3,False,
203,Waregem,HOUSE,HOUSE,349000.0,3.0,171.0,INSTALLED,,-1.0,True,,,,841,3,,GOOD
